nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,10,5,5,25,0.25,1,mixed,Model1,NA,NA,FALSE,5.4,5.38,6.03,6.38,3.77,5.27,9.4,6.36
10000,1000,10,5,5,25,0,1,mixed,Model4,NA,NA,FALSE,5.13,5.27,5.81,6.24,3.43,5.26,8.81,6.5
10000,1000,10,5,5,25,0,1,mixed,Model2,NA,NA,FALSE,14,15.64,17.77,17.75,10.44,15.45,23.67,19.77
10000,1000,10,5,5,25,0.5,1,mixed,Model5,NA,NA,FALSE,28.9,24.09,33.72,25.35,27.34,21.92,45.87,24.7
10000,1000,10,5,5,25,0.5,1,mixed,Model1,NA,NA,FALSE,5.41,5.23,6.11,6.07,4.14,5.12,10.21,5.74
10000,1000,10,5,5,25,0.25,1,mixed,Model7,NA,NA,FALSE,20.38,49.07,25.28,59.97,16.35,55.87,34.59,60.62
10000,1000,10,5,5,25,0.75,1,mixed,Model3,NA,NA,FALSE,71.83,84,78.63,85.05,65.73,81.39,91.61,79.35
10000,1000,10,5,5,25,0,1,mixed,Model1,NA,NA,FALSE,5.22,5.35,6.14,6.39,3.45,5.47,9.18,6.67
10000,1000,5,5,5,25,0.5,1,mixed,Model4,NA,NA,FALSE,6.61,6.82,5.95,5.71,4.37,6.31,11.74,7.38
10000,1000,10,5,5,25,0.75,1,mixed,Model1,NA,NA,FALSE,5.12,4.98,5.74,6.43,4.64,4.97,11.56,5.38
10000,1000,10,5,5,25,0.25,1,mixed,Model5,NA,NA,FALSE,26.46,20,31.49,22.16,24.45,19.11,41.36,22.31
10000,1000,10,10,5,25,0.75,1,mixed,Model6,NA,NA,FALSE,39.91,38.43,46.73,39.92,44.95,37.54,62.85,34.16
10000,1000,10,5,5,25,0.75,1,mixed,Model5,NA,NA,FALSE,31.17,31.06,35.63,30.51,30.8,26.28,52.19,27.77
10000,1000,5,5,10,25,0.25,1,mixed,Model3,NA,NA,FALSE,23.22,18.46,39.52,26.09,23.86,26.02,49.94,26
