Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
10000;1000;10;15;15;50;0.75;1;mixed;Model3;NA;NA;FALSE;72.08;81.8;95.38;98.98;92.66;99.27;99.13;96.92
10000;1000;10;15;15;50;0.75;1;normal;Model6;NA;NA;FALSE;67.11;67.36;73.9;79.46;72.9;80.72;84.02;72.08
10000;1000;10;15;15;50;0.75;1;mixed;Model5;NA;NA;FALSE;32.15;31.05;51.42;46.75;48.74;46.41;68.9;37.3
10000;1000;10;15;15;50;0.75;1;mixed;Model4;NA;NA;FALSE;5.33;5.35;5.49;5.93;5.34;5.57;11.8;3.62
10000;1000;10;15;15;50;0.75;1;lognormal;Model5;NA;NA;FALSE;99.83;92.15;100;97.37;99.96;98.08;100;97.48
10000;1000;10;15;15;50;0.5;1;normal;Model7;NA;NA;FALSE;94.13;100;99.9;100;99.85;100;100;100
10000;1000;100;150;150;25;0.75;1;normal;Model4;NA;NA;FALSE;5.1;4.99;5.2;5.4;5.38;5.36;7.87;4.28
10000;1000;100;150;150;25;0.5;1;normal;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;normal;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;mixed;Model4;NA;NA;FALSE;5.31;5.22;5.24;5.07;5.08;5.07;10.56;3.73
10000;1000;100;150;150;25;0.75;1;normal;Model1;NA;NA;FALSE;5.1;4.99;5.2;5.4;5.38;5.42;7.9;4.27
10000;1000;100;150;150;25;0.5;1;mixed;Model4;NA;NA;FALSE;5.33;5.2;5.31;5.17;5.19;5.14;8.84;4.14
10000;1000;100;150;150;25;0.5;1;normal;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;normal;Model2;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;mixed;Model5;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;lognormal;Model5;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;normal;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;lognormal;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;mixed;Model1;NA;NA;FALSE;7.5;13.44;11.96;22.45;11.7;22.32;21.81;18.56
10000;1000;100;150;150;25;0.5;1;mixed;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;lognormal;Model1;NA;NA;FALSE;4.92;4.66;5.04;4.94;4.98;4.88;7.48;4.19
10000;1000;100;150;150;25;0.75;1;mixed;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;lognormal;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;lognormal;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;mixed;Model1;NA;NA;FALSE;8.75;12.31;13.05;21.82;13.04;21.65;20.74;18.78
