nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,5,5,10,25,0,1,lognormal,Model7,t.distr,0.5,TRUE,9.37,11.63,10.51,15.05,6.19,15.9,16.16,15.8
10000,1000,5,10,10,25,0.75,1,lognormal,Model3,normal,0.5,TRUE,44.11,37,54.87,43.77,46.57,51.52,69.1,40.93
10000,1000,5,10,10,25,0.25,1,lognormal,Model2,t.distr,0.5,TRUE,11.58,11.01,14.46,12.64,8.37,11.73,21.29,10.46
10000,1000,5,10,10,25,0.25,1,lognormal,Model7,t.distr,0.5,TRUE,11.01,13.19,14.05,22.21,8.29,23.83,21.99,24.47
10000,1000,5,10,10,25,0,1,lognormal,Model5,normal,0.5,TRUE,11.05,10.84,17.39,11.62,12.64,12.58,28.91,12.84
10000,1000,5,10,10,25,0.5,1,lognormal,Model7,t.distr,0.5,TRUE,13.37,18.14,16.47,27.16,10.07,30.36,26.47,30.84
10000,1000,5,5,10,25,0.25,1,lognormal,Model2,t.distr,0.5,TRUE,10.6,11.08,11.32,11.07,6.59,10.23,16.73,9.63
10000,1000,5,10,10,25,0,1,lognormal,Model7,t.distr,0.5,TRUE,9.82,11.44,12.78,20.21,7.33,21.03,20.11,21.29
10000,1000,5,10,10,25,0.75,1,lognormal,Model6,normal,0.5,TRUE,40.54,28.8,50.89,30.67,40.5,34.61,67.57,32.56
10000,1000,5,10,10,25,0.25,1,lognormal,Model2,normal,0.5,TRUE,11,10.09,12.92,11.1,9.06,11.82,20.55,10.23
10000,1000,5,5,5,25,0,1,lognormal,Model1,t.distr,0.5,TRUE,6.83,6.69,5.23,5.24,2.86,5.11,8.07,4.41
10000,1000,5,10,10,25,0.75,1,lognormal,Model7,t.distr,0.5,TRUE,23.37,30.5,26.02,41.03,17.43,48.49,39.53,49.24
10000,1000,5,10,10,25,0.75,1,lognormal,Model5,t.distr,0.5,TRUE,37.84,27.9,44.95,28.86,33.75,31.76,60.64,33.05
10000,1000,5,10,10,25,0.5,1,lognormal,Model1,normal,0.5,TRUE,6.41,6.17,5.22,4.47,3.92,5.7,9.44,4.73
10000,1000,5,10,10,25,0.5,1,lognormal,Model6,t.distr,0.5,TRUE,24.94,19.79,37.83,23.04,25.58,23.78,52.19,22.48
10000,1000,5,10,10,25,0.75,1,lognormal,Model1,normal,0.5,TRUE,6.71,6.56,5.43,4.88,3.85,5.85,9.36,4.73
