nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,5,5,10,25,0.75,1,normal,Model3,NA,NA,FALSE,49.18,41.35,52.84,46.15,44.23,55.23,67.11,51.25
10000,1000,5,5,10,25,0.5,1,normal,Model7,NA,NA,FALSE,18.39,29.91,22.13,48.18,17.01,61.31,34.19,63.22
10000,1000,5,5,10,25,0.25,1,lognormal,Model2,NA,NA,FALSE,15.5,13.38,19.52,14.06,11.59,14.47,27.97,19.22
10000,1000,5,5,10,25,0,1,lognormal,Model3,NA,NA,FALSE,27.25,21.37,50.61,31.14,36.56,33.29,60.98,33.8
10000,1000,5,5,10,25,0.5,1,normal,Model4,NA,NA,FALSE,6.74,6.83,5.07,5.66,4.36,6.7,9.38,7.32
10000,1000,5,5,10,25,0.25,1,normal,Model7,NA,NA,FALSE,14.12,20.9,17.92,39.25,13.84,48.64,27.85,51.34
10000,1000,5,5,10,25,0.5,1,lognormal,Model2,NA,NA,FALSE,20.98,17.28,24.45,17.88,15.32,18.51,33.93,24.34
10000,1000,5,5,10,25,0,1,lognormal,Model6,NA,NA,FALSE,23.35,17.75,41.97,21.13,26.03,23.37,53.75,27.55
10000,1000,5,5,10,25,0.75,1,lognormal,Model3,NA,NA,FALSE,76.69,60.05,86.06,65.53,80.6,75.86,93.87,75.55
10000,1000,5,5,10,25,0,1,lognormal,Model4,NA,NA,FALSE,6.3,6.75,5.07,5.44,3.1,6.54,8.98,8.48
10000,1000,5,5,5,25,0.25,1,normal,Model5,NA,NA,FALSE,12.59,10.85,12.51,9.28,10.05,10.39,21.55,11.76
10000,1000,5,5,10,25,0.5,1,normal,Model1,NA,NA,FALSE,6.82,6.83,5.07,5.66,4.37,6.66,9.19,6.94
10000,1000,5,5,10,25,0.75,1,lognormal,Model2,NA,NA,FALSE,37.84,29.6,38.77,29.51,28.04,32.61,52.96,39.7
10000,1000,5,5,10,25,0.75,1,normal,Model6,NA,NA,FALSE,29.82,23.77,29.31,21.36,26.94,22.97,42.93,23.7
10000,1000,5,5,10,25,0,1,lognormal,Model1,NA,NA,FALSE,6.18,6.51,4.99,5.38,2.71,5.82,8.33,7.27
10000,1000,5,5,10,25,0.25,1,lognormal,Model7,NA,NA,FALSE,13.59,13.69,17.24,18.2,9.44,20.47,25.04,26.13
10000,1000,5,5,10,25,0,1,normal,Model7,NA,NA,FALSE,12.28,16.86,16.23,34.23,12.04,41.68,25.07,44.07
10000,1000,5,5,10,25,0,1,lognormal,Model7,NA,NA,FALSE,11.09,11.42,14.92,15.82,8.19,17.32,22.3,22.44
10000,1000,5,5,10,25,0.25,1,lognormal,Model6,NA,NA,FALSE,30.44,21.66,49.28,25.01,31.9,27.56,61.33,32.11
10000,1000,5,5,10,25,0.5,1,lognormal,Model3,NA,NA,FALSE,48.91,36.99,67.78,46.4,55.2,51.1,78.59,51.62
10000,1000,5,5,10,25,0,1,lognormal,Model5,NA,NA,FALSE,18.35,14.56,30.78,17.33,18.57,19.1,42.11,24.94
10000,1000,5,5,10,25,0.75,1,lognormal,Model6,NA,NA,FALSE,75.28,50.23,85.01,51.3,75.26,57.34,94.3,62.35
10000,1000,5,5,10,25,0.25,1,lognormal,Model5,NA,NA,FALSE,23.48,17.36,36.19,19.89,22.45,22.3,48.31,28.56
10000,1000,5,5,10,25,0.75,1,normal,Model2,NA,NA,FALSE,20.64,19.43,18.54,19.79,13.86,23.21,28.56,25.03
10000,1000,5,5,10,25,0.5,1,lognormal,Model4,NA,NA,FALSE,6.24,6.71,4.98,5.31,3.23,6.29,9.14,8.21
10000,1000,5,5,10,25,0.75,1,lognormal,Model4,NA,NA,FALSE,6.56,6.71,5.06,5.15,3.25,6.31,8.82,8.11
10000,1000,5,5,10,25,0.25,1,normal,Model3,NA,NA,FALSE,19.42,17.94,26.3,23.49,18.6,25.69,35.12,22.93
10000,1000,5,5,10,25,0.75,1,lognormal,Model5,NA,NA,FALSE,63.2,41.08,72.25,41,58.41,46.87,85.77,56.21
10000,1000,5,5,10,25,0.25,1,normal,Model6,NA,NA,FALSE,14.39,12.37,16.62,11.42,13.76,12.95,25.22,13.23
10000,1000,5,5,10,25,0.25,1,lognormal,Model1,NA,NA,FALSE,6.08,6.87,4.94,5.36,2.63,5.76,8.43,7.29
10000,1000,5,5,10,25,0.75,1,lognormal,Model7,NA,NA,FALSE,33.39,32.26,34.93,38.16,24.06,45.03,49.11,52.64
10000,1000,5,5,10,25,0.25,1,lognormal,Model4,NA,NA,FALSE,6.31,6.57,4.91,5.18,3.22,6.36,9.03,8.39
10000,1000,5,5,10,25,0,1,normal,Model3,NA,NA,FALSE,15.92,14.31,23.03,19.16,15.77,21.5,31.01,19.21
10000,1000,5,5,10,25,0.5,1,lognormal,Model6,NA,NA,FALSE,43.98,29.32,62.3,32.47,44.35,36,74.93,40.85
10000,1000,5,10,10,25,0.75,1,normal,Model2,NA,NA,FALSE,20.5,19.21,21.45,21.02,16.23,26.22,34.49,28.14
10000,1000,5,5,10,25,0.25,1,normal,Model2,NA,NA,FALSE,10.37,9.91,10.53,10.07,8.01,12.14,17.23,13.47
10000,1000,5,5,10,25,0.25,1,normal,Model5,NA,NA,FALSE,12.64,10.52,13.75,9.81,11.54,11.22,21.95,12.64
10000,1000,5,10,10,25,0.25,1,normal,Model2,NA,NA,FALSE,10.75,10.8,13.02,11.92,8.67,13.79,21.33,15.05
10000,1000,5,10,10,25,0.5,1,normal,Model2,NA,NA,FALSE,13.38,12.71,15.29,14.51,10.66,16.53,24.28,18.37
10000,1000,5,10,10,25,0.25,1,normal,Model6,NA,NA,FALSE,14,12.03,20.09,12.29,17.22,13.01,31.36,13.43
10000,1000,5,5,10,25,0.25,1,normal,Model1,NA,NA,FALSE,6.67,6.71,4.96,5.39,4.45,6.4,9.44,6.87
